Category,Value,Amount still owed on all undergraduate loans ( Average Without Zeros ),Amount still owed on all undergraduate loans ( Average )
Estimated grade point average,Lower than 2.50,36531.73661,24504.17507
Estimated grade point average,2.50 - 2.99,32791.49289,21390.1328
Estimated grade point average,3.00 - 3.49,32979.50584,19116.38926
Estimated grade point average,3.50 or higher,28924.99569,15028.34109
Dependent students: Parents' income,"Less than $27,900",23621.37045,13562.28533
Dependent students: Parents' income,"$27,900-62,999",25871.76688,15742.18869
Dependent students: Parents' income,"$63,000-113,499",28498.15328,16536.17025
Dependent students: Parents' income,"$113,500 or more",31553.95213,13297.21455
Total income by dependency (categorical),"Dependent: Less than $10,000",22983.42576,11309.37138
Total income by dependency (categorical),"Dependent: $10,000-$19,999",20899.99279,12858.21412
Total income by dependency (categorical),"Dependent: $20,000-$29,999",27488.19669,15853.06696
Total income by dependency (categorical),"Dependent: $30,000-$39,999",23557.06037,13978.35839
Total income by dependency (categorical),"Dependent: $40,000-$49,999",27644.32939,16779.83657
Total income by dependency (categorical),"Dependent: $50,000-$59,999",24670.78766,15608.56728
Total income by dependency (categorical),"Dependent: $60,000-$69,999",27730.00861,17584.78173
Total income by dependency (categorical),"Dependent: $70,000-$79,999",26154.85212,15580.77747
Total income by dependency (categorical),"Dependent: $80,000-$99,999",27273.96126,15338.49451
Total income by dependency (categorical),"Dependent: $100,000-$119,999",29454.03213,18543.22952
Total income by dependency (categorical),"Dependent: $120,000-$149,999",27850.81339,14700.74052
Total income by dependency (categorical),"Dependent: $150,000 or more",33498.37596,13087.66759
Total income by dependency (categorical),"Independent: Less than $5,000",37215.5637,21549.36215
Total income by dependency (categorical),"Independent: $5,000-$9,999",32853.48433,22304.15338
Total income by dependency (categorical),"Independent: $10,000-$19,999",39454.77931,26836.44853
Total income by dependency (categorical),"Independent: $20,000-$29,999",37685.94412,27857.1222
Total income by dependency (categorical),"Independent: $30,000-$49,999",35885.79694,24759.56845
Total income by dependency (categorical),"Independent: $50,000 or more",35480.55323,18214.93338
,,,
,,,
,,,
,,,
,,,
Direct Subsidized and Unsubsidized Loans,0,27077.87973,7770.146536
Direct Subsidized and Unsubsidized Loans,"$1-4,499",28918.81841,28031.36581
Direct Subsidized and Unsubsidized Loans,"$4,500-6,199",27353.74558,26911.52207
Direct Subsidized and Unsubsidized Loans,"$6,200-7,999",36794.87117,36585.28307
Direct Subsidized and Unsubsidized Loans,"$8,000 or more",36716.76458,36253.75116
Total aid amount,0,25447.77174,6889.779259
Total aid amount,"$1-3,599",26131.04608,11420.45072
Total aid amount,"$3,600-8,199",27696.43612,17530.27423
Total aid amount,"$8,200-16,599",32001.67822,22858.11144
Total aid amount,"$16,600 or more",36781.70945,28265.29889
Grade point average in high school,0.5-0.9 (D- to D),,
Grade point average in high school,1.0-1.4 (D to C-),,
Grade point average in high school,1.5-1.9 (C- to C),,
Grade point average in high school,2.0-2.4 (C to B-),26715.1084,14564.97822
Grade point average in high school,2.5-2.9 (B- to B),31410.58439,18492.04717
Grade point average in high school,3.0-3.4 (B to A-),28225.48685,16773.05324
Grade point average in high school,3.5-4.0 (A- to A),26950.41825,13540.8361
NPSAS institution type (IPEDS sector),Public 4-year,28491.1587,15587.02666
NPSAS institution type (IPEDS sector),Private nonprofit 4-year,34497.69677,19863.40854
NPSAS institution type (IPEDS sector),Private for profit 4-year,42378.46229,31731.67722
Highest level of offering at NPSAS institution,Bachelor's degree,32937.11198,17990.35927
Highest level of offering at NPSAS institution,Postbaccalaureate certificate,,
Highest level of offering at NPSAS institution,Master's degree,31646.98082,17825.10496
Highest level of offering at NPSAS institution,Post-master's certificate,39123.09569,26304.26654
Highest level of offering at NPSAS institution,Doctor's degree,30730.38472,17348.54144
Minority Serving Institution indicator,Non-minority serving,32232.12748,18311.05855
Minority Serving Institution indicator,HBCU,37265.59615,31610.89286
Minority Serving Institution indicator,"Black/African American-serving, non-HBCU",38508.6054,28849.17025
Minority Serving Institution indicator,Hispanic/Latino-serving,24039.23336,12556.96717
Minority Serving Institution indicator,Asian/Native Hawaiian/Pacific Islander-serving,24610.73488,10528.63653
Minority Serving Institution indicator,Other minority-serving,36646.55562,
NPSAS institution region,New England (CT ME MA NH RI VT),37190.49117,21507.69643
NPSAS institution region,Mideast (DE DC MD NJ NY PA),33935.881,19661.39523
NPSAS institution region,Great Lakes (IL IN MI OH WI),31796.26084,19174.04911
NPSAS institution region,Plains (IA KS MN MO NE ND SD),33335.02592,21036.6782
NPSAS institution region,South East (AL AR FL GA KY LA MS NC SC TN VA WV),30321.41675,17912.7015
NPSAS institution region,Southwest (AZ NM OK TX),30798.85466,16370.92528
NPSAS institution region,Rocky Mountains (CO ID MT UT WY),29623.24571,13421.23478
NPSAS institution region,Far West (AK CA HI NV OR WA),28848.1924,15506.5382
NPSAS institution region,Puerto Rico,16685.19584,7169.839229
Selectivity (All 4-year institutions),Very selective,27219.13555,12119.122
Selectivity (All 4-year institutions),Moderately selective,30874.50742,18685.89301
Selectivity (All 4-year institutions),Minimally selective,35266.29935,22144.50187
Selectivity (All 4-year institutions),Open admission,38367.67298,23278.08107
Race/ethnicity (with multiple) and gender,American Indian or Alaska Native male,,
Race/ethnicity (with multiple) and gender,American Indian or Alaska Native female,,
Race/ethnicity (with multiple) and gender,Asian male,29987.56981,11384.91366
Race/ethnicity (with multiple) and gender,Asian female,30573.89773,11884.1912
